Offset to centre: 115
Window: 0
(-14189,0)
(-12999,0)
(-11586,0)
(-9974,0)
(-8192,0)
(-6270,0)
(-4241,0)
(-2139,0)
(0,0)
(2138,0)
(4240,0)
(6269,0)
(8192,0)
(9973,0)
(11585,0)
(12998,0)
(14188,0)
(15136,0)
(15825,0)
(16243,0)
(16384,0)
(16243,0)
(15825,0)
(15136,0)
(14188,0)
(12998,0)
(11585,0)
(9973,0)
(8192,0)
(6269,0)
(4240,0)
(2138,0)
(0,0)
(-2139,0)
(-4241,0)
(-6270,0)
(-8192,0)
(-9974,0)
(-11586,0)
(-12999,0)
(-14189,0)
(-15137,0)
(-15826,0)
(-16244,0)
(-16384,0)
(-16244,0)
(-15826,0)
(-15137,0)
(-14189,0)
(-12999,0)
(-11586,0)
(-9974,0)
(-8192,0)
(-6270,0)
(-4241,0)
(-2139,0)
(0,0)
(2138,0)
(4240,0)
(6269,0)
(8192,0)
(9973,0)
(11585,0)
(12998,0)
(14188,0)
(15136,0)
(15825,0)
(16243,0)
(16384,0)
(16243,0)
(15825,0)
(15136,0)
(14188,0)
(12998,0)
(11585,0)
(9973,0)
(8192,0)
(6269,0)
(4240,0)
(2138,0)
(0,0)
(-2139,0)
(-4241,0)
(-6270,0)
(-8192,0)
(-9974,0)
(-11586,0)
(-12999,0)
(-14189,0)
(-15137,0)
(-15826,0)
(-16244,0)
(-16384,0)
(-16244,0)
(-15826,0)
(-15137,0)
(-14189,0)
(-12999,0)
(-11586,0)
(-9974,0)
(-8192,0)
(-6270,0)
(-4241,0)
(-2139,0)
(0,0)
(2138,0)
(4240,0)
(6269,0)
(8192,0)
(9973,0)
(11585,0)
(12998,0)
(14188,0)
(15136,0)
(15825,0)
(16243,0)
(16384,0)
(16243,0)
(15825,0)
(15136,0)
(14188,0)
(12998,0)
(11585,0)
(9973,0)
(8192,0)
(6269,0)
(4240,0)
(2138,0)
(0,0)
(-2139,0)
(-4241,0)
(-6270,0)
(-8192,0)
(-9974,0)
(-11586,0)
(-12999,0)
(-14189,0)
(-15137,0)
(-15826,0)
(-16244,0)
(-16384,0)
(-16244,0)
(-15826,0)
(-15137,0)
(-14189,0)
(-12999,0)
(-11586,0)
(-9974,0)
(-8192,0)
(-6270,0)
(-4241,0)
(-2139,0)
(0,0)
(2138,0)
(4240,0)
(6269,0)
(8192,0)
(9973,0)
(11585,0)
(12998,0)
(14188,0)
(15136,0)
(15825,0)
(16243,0)
(16384,0)
(16243,0)
(15825,0)
(15136,0)
(14188,0)
(12998,0)
(11585,0)
(9973,0)
(8192,0)
(6269,0)
(4240,0)
(2138,0)
(0,0)
(-2139,0)
(-4241,0)
(-6270,0)
(-8192,0)
(-9974,0)
(-11586,0)
(-12999,0)
(-14189,0)
(-15137,0)
(-15826,0)
(-16244,0)
(-16384,0)
(-16244,0)
(-15826,0)
(-15137,0)
(-14189,0)
(-12999,0)
(-11586,0)
(-9974,0)
(-8192,0)
(-6270,0)
(-4241,0)
(-2139,0)
(0,0)
(2138,0)
(4240,0)
(6269,0)
(8192,0)
(9973,0)
(11585,0)
(12998,0)
(14188,0)
(15136,0)
(15825,0)
(16243,0)
(16384,0)
(16243,0)
(15825,0)
(15136,0)
(14188,0)
(12998,0)
(11585,0)
(9973,0)
(8192,0)
(6269,0)
(4240,0)
(2138,0)
(0,0)
(-2139,0)
(-4241,0)
(-6270,0)
(-8192,0)
(-9974,0)
(-11586,0)
(-12999,0)
(-14189,0)
(-15137,0)
(-15826,0)
(-16244,0)
(-16384,0)
(-16244,0)
(-15826,0)
(-15137,0)
(-14189,0)
(-12999,0)
(-11586,0)
(-9974,0)
(-8192,0)
(-6270,0)
(-4241,0)
(-2139,0)
(0,0)
(2138,0)
(4240,0)
(6269,0)
(8192,0)
(9973,0)
(11585,0)
(12998,0)
(14188,0)
(15136,0)
(15825,0)
(16243,0)
(16384,0)
(16243,0)
(15825,0)
(15136,0)
(14188,0)
(12998,0)
(11585,0)
(9973,0)
(8192,0)
(6269,0)
(4240,0)
(2138,0)
(0,0)
(-2139,0)
(-4241,0)
(-6270,0)
(-8192,0)
(-9974,0)
(-11586,0)
(-12999,0)
(-14189,0)
(-15137,0)
(-15826,0)
(-16244,0)
(-16384,0)
(-16244,0)
(-15826,0)
(-15137,0)
(-14189,0)
(-12999,0)
(-11586,0)
(-9974,0)
(-8192,0)
(-6270,0)
(-4241,0)
(-2139,0)
(0,0)
(2138,0)
(4240,0)
(6269,0)
(8192,0)
(9973,0)
(11585,0)
(12998,0)
(14188,0)
(15136,0)
(15825,0)
(16243,0)
(16384,0)
(16243,0)
(15825,0)
(15136,0)
(14188,0)
(12998,0)
(11585,0)
(9973,0)
(8192,0)
(6269,0)
(4240,0)
(2138,0)
(0,0)
(-2139,0)
(-4241,0)
(-6270,0)
(-8192,0)
(-9974,0)
(-11586,0)
(-12999,0)
(-14189,0)
(-15137,0)
(-15826,0)
(-16244,0)
(-16384,0)
(-16244,0)
(-15826,0)
(-15137,0)
(-14189,0)
(-12999,0)
(-11586,0)
(-9974,0)
(-8192,0)
(-6270,0)
(-4241,0)
(-2139,0)
(0,0)
(2138,0)
(4240,0)
(6269,0)
(8192,0)
(9973,0)
(11585,0)
(12998,0)
(14188,0)
(15136,0)
(15825,0)
(16243,0)
(16384,0)
(16243,0)
(15825,0)
(15136,0)
(14188,0)
(12998,0)
(11585,0)
(9973,0)
(8192,0)
(6269,0)
(4240,0)
(2138,0)
(0,0)
(-2139,0)
(-4241,0)
(-6270,0)
(-8192,0)
(-9974,0)
(-11586,0)
(-12999,0)
(-14189,0)
(-15137,0)
(-15826,0)
(-16244,0)
(-16384,0)
(-16244,0)
(-15826,0)
(-15137,0)
(-14189,0)
(-12999,0)
(-11586,0)
(-9974,0)
(-8192,0)
(-6270,0)
(-4241,0)
(-2139,0)
(0,0)
(2138,0)
(4240,0)
(6269,0)
(8192,0)
(9973,0)
(11585,0)
(12998,0)
(14188,0)
(15136,0)
(15825,0)
(16243,0)
(16384,0)
(16243,0)
(15825,0)
(15136,0)
(14188,0)
(12998,0)
(11585,0)
(9973,0)
(8192,0)
(6269,0)
(4240,0)
(2138,0)
(0,0)
(-2139,0)
(-4241,0)
(-6270,0)
(-8192,0)
(-9974,0)
(-11586,0)
(-12999,0)
(-14189,0)
(-15137,0)
(-15826,0)
(-16244,0)
(-16384,0)
(-16244,0)
(-15826,0)
(-15137,0)
(-14189,0)
(-12999,0)
(-11586,0)
(-9974,0)
(-8192,0)
(-6270,0)
(-4241,0)
(-2139,0)
(0,0)
(2138,0)
(4240,0)
(6269,0)
(8192,0)
(9973,0)
(11585,0)
(12998,0)
(14188,0)
(15136,0)
(15825,0)
(16243,0)
(16384,0)
(16243,0)
(15825,0)
(15136,0)
(14188,0)
(12998,0)
(11585,0)
(9973,0)
(8192,0)
(6269,0)
(4240,0)
(2138,0)
(0,0)
(-2139,0)
(-4241,0)
(-6270,0)
(-8192,0)
(-9974,0)
(-11586,0)
(-12999,0)
(-14189,0)
(-15137,0)
(-15826,0)
(-16244,0)
(-16384,0)
(-16244,0)
(-15826,0)
(-15137,0)
(-14189,0)
(-12999,0)
(-11586,0)
(-9974,0)
(-8192,0)
(-6270,0)
(-4241,0)
(-2139,0)
(0,0)
(2138,0)
(4240,0)
(6269,0)
(8192,0)
(9973,0)
(11585,0)
(12998,0)
(14188,0)
(15136,0)
(15825,0)
(16243,0)
(16384,0)
(16243,0)
(15825,0)
(15136,0)
(14188,0)
(12998,0)
(11585,0)
(9973,0)
(8192,0)
(6269,0)
(4240,0)
(2138,0)
(0,0)
(-2139,0)
(-4241,0)
(-6270,0)
(-8192,0)
(-9974,0)
(-11586,0)
(-12999,0)
(-14189,0)
(-15137,0)
(-15826,0)
(-16244,0)
(-16384,0)
(-16244,0)
(-15826,0)
(-15137,0)
(-14189,0)
(-12999,0)
(-11586,0)
(-9974,0)
(-8192,0)
(-6270,0)
(-4241,0)
(-2139,0)
(0,0)
(2138,0)
(4240,0)
(6269,0)
(8192,0)
(9973,0)
(11585,0)
(12998,0)
(14188,0)
(15136,0)
(15825,0)
(16243,0)
(16384,0)
(16243,0)
(15825,0)
(15136,0)
(14188,0)
(12998,0)
(11585,0)
(9973,0)
(8192,0)
(6269,0)
(4240,0)
(2138,0)
(0,0)
(-2139,0)
(-4241,0)
(-6270,0)
(-8192,0)
(-9974,0)
(-11586,0)
(-12999,0)
(-14189,0)
(-15137,0)
(-15826,0)
(-16244,0)
(-16384,0)
(-16244,0)
(-15826,0)
(-15137,0)
(-14189,0)
(-12999,0)
(-11586,0)
(-9974,0)
(-8192,0)
(-6270,0)
(-4241,0)
(-2139,0)
(0,0)
(2138,0)
(4240,0)
(6269,0)
(8192,0)
(9973,0)
(11585,0)
(12998,0)
(14188,0)
(15136,0)
(15825,0)
(16243,0)
(16384,0)
(16243,0)
(15825,0)
(15136,0)
(14188,0)
(12998,0)
(11585,0)
(9973,0)
(8192,0)
(6269,0)
(4240,0)
(2138,0)
(0,0)
(-2139,0)
(-4241,0)
(-6270,0)
(-8192,0)
(-9974,0)
(-11586,0)
(-12999,0)
(-14189,0)
(-15137,0)
(-15826,0)
(-16244,0)
(-16384,0)
(-16244,0)
(-15826,0)
(-15137,0)
(-14189,0)
(-12999,0)
(-11586,0)
(-9974,0)
(-8192,0)
(-6270,0)
(-4241,0)
(-2139,0)
(0,0)
(2138,0)
(4240,0)
(6269,0)
(8192,0)
(9973,0)
(11585,0)
(12998,0)
(14188,0)
(15136,0)
(15825,0)
(16243,0)
(16384,0)
(16243,0)
(15825,0)
(15136,0)
(14188,0)
(12998,0)
(11585,0)
(9973,0)
(8192,0)
(6269,0)
(4240,0)
(2138,0)
(0,0)
(-2139,0)
(-4241,0)
(-6270,0)
(-8192,0)
(-9974,0)
(-11586,0)
(-12999,0)
(-14189,0)
(-15137,0)
(-15826,0)
(-16244,0)
(-16384,0)
(-16244,0)
(-15826,0)
(-15137,0)
(-14189,0)
(-12999,0)
(-11586,0)
(-9974,0)
(-8192,0)
(-6270,0)
(-4241,0)
(-2139,0)
(0,0)
(2138,0)
(4240,0)
(6269,0)
(8192,0)
(9973,0)
(11585,0)
(12998,0)
(14188,0)
(15136,0)
(15825,0)
(16243,0)
(16384,0)
(16243,0)
(15825,0)
(15136,0)
(14188,0)
(12998,0)
(11585,0)
(9973,0)
(8192,0)
(6269,0)
(4240,0)
(2138,0)
(0,0)
(0,0)
(0,0)
(0,0)
(0,0)
(0,0)
(0,0)
(0,0)
(0,0)
(0,0)
(0,0)
(0,0)
(0,0)
(0,0)
(0,0)
(0,0)
(0,0)
(0,0)
(0,0)
(0,0)
(0,0)
(0,0)
(0,0)
(0,0)
(0,0)
(0,0)
(0,0)
(0,0)
(0,0)
(0,0)
(0,0)
(0,0)
(0,0)
(0,0)
(0,0)
(0,0)
(0,0)
(0,0)
(0,0)
(0,0)
(0,0)
(0,0)
(0,0)
(0,0)
(0,0)
(0,0)
(0,0)
(0,0)
(0,0)
(0,0)
(0,0)
(0,0)
(0,0)
(0,0)
(0,0)
(0,0)
(0,0)
(0,0)
(0,0)
(0,0)
(0,0)
(0,0)
(0,0)
(0,0)
(0,0)
(0,0)
(0,0)
(0,0)
(0,0)
(0,0)
(0,0)
(0,0)
(0,0)
(0,0)
(0,0)
(0,0)
(0,0)
(0,0)
(0,0)
(0,0)
(0,0)
(0,0)
(0,0)
(0,0)
(0,0)
(0,0)
(0,0)
(0,0)
(0,0)
(0,0)
(0,0)
(0,0)
(0,0)
(0,0)
(0,0)
(0,0)
(0,0)
(0,0)
(0,0)
(0,0)
(0,0)
(0,0)
(0,0)
(0,0)
(0,0)
(0,0)
(0,0)
(0,0)
(0,0)
(0,0)
(0,0)
(0,0)
(0,0)
(0,0)
(0,0)
(0,0)
(0,0)
Offset to centre: 115
Window: 1
(0,0)
(0,0)
(0,0)
(0,0)
(0,0)
(0,0)
(0,0)
(0,0)
(0,0)
(0,0)
(0,0)
(0,0)
(0,0)
(0,0)
(0,0)
(0,0)
(0,0)
(0,0)
(0,0)
(0,0)
(0,0)
(0,0)
(0,0)
(0,0)
(0,0)
(0,0)
(0,0)
(0,0)
(0,0)
(0,0)
(0,0)
(0,0)
(0,0)
(0,0)
(0,0)
(0,0)
(0,0)
(0,0)
(0,0)
(0,0)
(0,0)
(0,0)
(0,0)
(0,0)
(0,0)
(0,0)
(0,0)
(0,0)
(0,0)
(0,0)
(0,0)
(0,0)
(0,0)
(0,0)
(0,0)
(0,0)
(0,0)
(0,0)
(0,0)
(0,0)
(0,0)
(0,0)
(0,0)
(0,0)
(0,0)
(0,0)
(0,0)
(0,0)
(0,0)
(0,0)
(0,0)
(0,0)
(0,0)
(0,0)
(0,0)
(0,0)
(0,0)
(0,0)
(0,0)
(0,0)
(0,0)
(0,0)
(0,0)
(0,0)
(0,0)
(0,0)
(0,0)
(0,0)
(0,0)
(0,0)
(0,0)
(0,0)
(0,0)
(0,0)
(0,0)
(0,0)
(0,0)
(0,0)
(0,0)
(0,0)
(0,0)
(0,0)
(0,0)
(0,0)
(0,0)
(0,0)
(0,0)
(0,0)
(0,0)
(0,0)
(0,0)
(0,0)
(0,0)
(0,0)
(0,0)
(0,0)
(-2139,0)
(-4241,0)
(-6270,0)
(-8192,0)
(-9974,0)
(-11586,0)
(-12999,0)
(-14189,0)
(-15137,0)
(-15826,0)
(-16244,0)
(-16384,0)
(-16244,0)
(-15826,0)
(-15137,0)
(-14189,0)
(-12999,0)
(-11586,0)
(-9974,0)
(-8192,0)
(-6270,0)
(-4241,0)
(-2139,0)
(0,0)
(2138,0)
(4240,0)
(6269,0)
(8192,0)
(9973,0)
(11585,0)
(12998,0)
(14188,0)
(15136,0)
(15825,0)
(16243,0)
(16384,0)
(16243,0)
(15825,0)
(15136,0)
(14188,0)
(12998,0)
(11585,0)
(9973,0)
(8192,0)
(6269,0)
(4240,0)
(2138,0)
(0,0)
(-2139,0)
(-4241,0)
(-6270,0)
(-8192,0)
(-9974,0)
(-11586,0)
(-12999,0)
(-14189,0)
(-15137,0)
(-15826,0)
(-16244,0)
(-16384,0)
(-16244,0)
(-15826,0)
(-15137,0)
(-14189,0)
(-12999,0)
(-11586,0)
(-9974,0)
(-8192,0)
(-6270,0)
(-4241,0)
(-2139,0)
(0,0)
(2138,0)
(4240,0)
(6269,0)
(8192,0)
(9973,0)
(11585,0)
(12998,0)
(14188,0)
(15136,0)
(15825,0)
(16243,0)
(16384,0)
(16243,0)
(15825,0)
(15136,0)
(14188,0)
(12998,0)
(11585,0)
(9973,0)
(8192,0)
(6269,0)
(4240,0)
(2138,0)
(0,0)
(-2139,0)
(-4241,0)
(-6270,0)
(-8192,0)
(-9974,0)
(-11586,0)
(-12999,0)
(-14189,0)
(-15137,0)
(-15826,0)
(-16244,0)
(-16384,0)
(-16244,0)
(-15826,0)
(-15137,0)
(-14189,0)
(-12999,0)
(-11586,0)
(-9974,0)
(-8192,0)
(-6270,0)
(-4241,0)
(-2139,0)
(0,0)
(2138,0)
(4240,0)
(6269,0)
(8192,0)
(9973,0)
(11585,0)
(12998,0)
(14188,0)
(15136,0)
(15825,0)
(16243,0)
(16384,0)
(16243,0)
(15825,0)
(15136,0)
(14188,0)
(12998,0)
(11585,0)
(9973,0)
(8192,0)
(6269,0)
(4240,0)
(2138,0)
(0,0)
(-2139,0)
(-4241,0)
(-6270,0)
(-8192,0)
(-9974,0)
(-11586,0)
(-12999,0)
(-14189,0)
(-15137,0)
(-15826,0)
(-16244,0)
(-16384,0)
(-16244,0)
(-15826,0)
(-15137,0)
(-14189,0)
(-12999,0)
(-11586,0)
(-9974,0)
(-8192,0)
(-6270,0)
(-4241,0)
(-2139,0)
(0,0)
(2138,0)
(4240,0)
(6269,0)
(8192,0)
(9973,0)
(11585,0)
(12998,0)
(14188,0)
(15136,0)
(15825,0)
(16243,0)
(16384,0)
(16243,0)
(15825,0)
(15136,0)
(14188,0)
(12998,0)
(11585,0)
(9973,0)
(8192,0)
(6269,0)
(4240,0)
(2138,0)
(0,0)
(-2139,0)
(-4241,0)
(-6270,0)
(-8192,0)
(-9974,0)
(-11586,0)
(-12999,0)
(-14189,0)
(-15137,0)
(-15826,0)
(-16244,0)
(-16384,0)
(-16244,0)
(-15826,0)
(-15137,0)
(-14189,0)
(-12999,0)
(-11586,0)
(-9974,0)
(-8192,0)
(-6270,0)
(-4241,0)
(-2139,0)
(0,0)
(2138,0)
(4240,0)
(6269,0)
(8192,0)
(9973,0)
(11585,0)
(12998,0)
(14188,0)
(15136,0)
(15825,0)
(16243,0)
(16384,0)
(16243,0)
(15825,0)
(15136,0)
(14188,0)
(12998,0)
(11585,0)
(9973,0)
(8192,0)
(6269,0)
(4240,0)
(2138,0)
(0,0)
(-2139,0)
(-4241,0)
(-6270,0)
(-8192,0)
(-9974,0)
(-11586,0)
(-12999,0)
(-14189,0)
(-15137,0)
(-15826,0)
(-16244,0)
(-16384,0)
(-16244,0)
(-15826,0)
(-15137,0)
(-14189,0)
(-12999,0)
(-11586,0)
(-9974,0)
(-8192,0)
(-6270,0)
(-4241,0)
(-2139,0)
(0,0)
(2138,0)
(4240,0)
(6269,0)
(8192,0)
(9973,0)
(11585,0)
(12998,0)
(14188,0)
(15136,0)
(15825,0)
(16243,0)
(16384,0)
(16243,0)
(15825,0)
(15136,0)
(14188,0)
(12998,0)
(11585,0)
(9973,0)
(8192,0)
(6269,0)
(4240,0)
(2138,0)
(0,0)
(-2139,0)
(-4241,0)
(-6270,0)
(-8192,0)
(-9974,0)
(-11586,0)
(-12999,0)
(-14189,0)
(-15137,0)
(-15826,0)
(-16244,0)
(-16384,0)
(-16244,0)
(-15826,0)
(-15137,0)
(-14189,0)
(-12999,0)
(-11586,0)
(-9974,0)
(-8192,0)
(-6270,0)
(-4241,0)
(-2139,0)
(0,0)
(2138,0)
(4240,0)
(6269,0)
(8192,0)
(9973,0)
(11585,0)
(12998,0)
(14188,0)
(15136,0)
(15825,0)
(16243,0)
(16384,0)
(16243,0)
(15825,0)
(15136,0)
(14188,0)
(12998,0)
(11585,0)
(9973,0)
(8192,0)
(6269,0)
(4240,0)
(2138,0)
(0,0)
(-2139,0)
(-4241,0)
(-6270,0)
(-8192,0)
(-9974,0)
(-11586,0)
(-12999,0)
(-14189,0)
(-15137,0)
(-15826,0)
(-16244,0)
(-16384,0)
(-16244,0)
(-15826,0)
(-15137,0)
(-14189,0)
(-12999,0)
(-11586,0)
(-9974,0)
(-8192,0)
(-6270,0)
(-4241,0)
(-2139,0)
(0,0)
(2138,0)
(4240,0)
(6269,0)
(8192,0)
(9973,0)
(11585,0)
(12998,0)
(14188,0)
(15136,0)
(15825,0)
(16243,0)
(16384,0)
(16243,0)
(15825,0)
(15136,0)
(14188,0)
(12998,0)
(11585,0)
(9973,0)
(8192,0)
(6269,0)
(4240,0)
(2138,0)
(0,0)
(-2139,0)
(-4241,0)
(-6270,0)
(-8192,0)
(-9974,0)
(-11586,0)
(-12999,0)
(-14189,0)
(-15137,0)
(-15826,0)
(-16244,0)
(-16384,0)
(-16244,0)
(-15826,0)
(-15137,0)
(-14189,0)
(-12999,0)
(-11586,0)
(-9974,0)
(-8192,0)
(-6270,0)
(-4241,0)
(-2139,0)
(0,0)
(2138,0)
(4240,0)
(6269,0)
(8192,0)
(9973,0)
(11585,0)
(12998,0)
(14188,0)
(15136,0)
(15825,0)
(16243,0)
(16384,0)
(16243,0)
(15825,0)
(15136,0)
(14188,0)
(12998,0)
(11585,0)
(9973,0)
(8192,0)
(6269,0)
(4240,0)
(2138,0)
(0,0)
(-2139,0)
(-4241,0)
(-6270,0)
(-8192,0)
(-9974,0)
(-11586,0)
(-12999,0)
(-14189,0)
(-15137,0)
(-15826,0)
(-16244,0)
(-16384,0)
(-16244,0)
(-15826,0)
(-15137,0)
(-14189,0)
(-12999,0)
(-11586,0)
(-9974,0)
(-8192,0)
(-6270,0)
(-4241,0)
(-2139,0)
(0,0)
(2138,0)
(4240,0)
(6269,0)
(8192,0)
(9973,0)
(11585,0)
(12998,0)
(14188,0)
(15136,0)
(15825,0)
(16243,0)
(16384,0)
(16243,0)
(15825,0)
(15136,0)
(14188,0)
(12998,0)
(11585,0)
(9973,0)
(8192,0)
(6269,0)
(4240,0)
(2138,0)
(0,0)
(-2139,0)
(-4241,0)
(-6270,0)
(-8192,0)
(-9974,0)
(-11586,0)
(-12999,0)
(-14189,0)
(-15137,0)
(-15826,0)
(-16244,0)
(-16384,0)
(-16244,0)
(-15826,0)
(-15137,0)
(-14189,0)
(-12999,0)
(-11586,0)
(-9974,0)
(-8192,0)
(-6270,0)
(-4241,0)
(-2139,0)
(0,0)
(2138,0)
(4240,0)
(6269,0)
(8192,0)
(9973,0)
(11585,0)
(12998,0)
(14188,0)
(15136,0)
(15825,0)
(16243,0)
(16384,0)
(16243,0)
(15825,0)
(15136,0)
(14188,0)
(12998,0)
(11585,0)
(9973,0)
(8192,0)
(6269,0)
(4240,0)
(2138,0)
(0,0)
(-2139,0)
(-4241,0)
(-6270,0)
(-8192,0)
(-9974,0)
(-11586,0)
(-12999,0)
(-14189,0)
(-15137,0)
(-15826,0)
(-16244,0)
(-16384,0)
(-16244,0)
(-15826,0)
(-15137,0)
(-14189,0)
(-12999,0)
(-11586,0)
(-9974,0)
(-8192,0)
(-6270,0)
(-4241,0)
(-2139,0)
(0,0)
(2138,0)
(4240,0)
(6269,0)
(8192,0)
(9973,0)
(11585,0)
(12998,0)
(14188,0)
(15136,0)
(15825,0)
(16243,0)
(16384,0)
(16243,0)
(15825,0)
(15136,0)
(14188,0)
(12998,0)
(11585,0)
(9973,0)
(8192,0)
(6269,0)
(4240,0)
(2138,0)
(0,0)
(-2139,0)
(-4241,0)
(-6270,0)
(-8192,0)
(-9974,0)
(-11586,0)
(-12999,0)
(-14189,0)
(-15137,0)
(-15826,0)
(-16244,0)
(-16384,0)
(-16244,0)
(-15826,0)
(-15137,0)
(-14189,0)
(-12999,0)
(-11586,0)
(-9974,0)
(-8192,0)
(-6270,0)
(-4241,0)
(-2139,0)
(0,0)
(2138,0)
(4240,0)
(6269,0)
(8192,0)
(9973,0)
(11585,0)
(12998,0)
(14188,0)
(15136,0)
(15825,0)
(16243,0)
(16384,0)
(16243,0)
(15825,0)
(15136,0)
(14188,0)
(12998,0)
(11585,0)
(9973,0)
(8192,0)
(6269,0)
(4240,0)
(2138,0)
(0,0)
(-2139,0)
(-4241,0)
(-6270,0)
(-8192,0)
(-9974,0)
(-11586,0)
(-12999,0)
(-14189,0)
(-15137,0)
(-15826,0)
(-16244,0)
(-16384,0)
(-16244,0)
(-15826,0)
(-15137,0)
(-14189,0)
(-12999,0)
(-11586,0)
(-9974,0)
(-8192,0)
(-6270,0)
(-4241,0)
(-2139,0)
(0,0)
(2138,0)
(4240,0)
(6269,0)
(8192,0)
(9973,0)
(11585,0)
(12998,0)
(14188,0)
(15136,0)
(15825,0)
(16243,0)
(16384,0)
(16243,0)
(15825,0)
(15136,0)
(14188,0)
(12998,0)
(11585,0)
(9973,0)
(8192,0)
(6269,0)
(4240,0)
(2138,0)
(0,0)
(-2139,0)
(-4241,0)
(-6270,0)
(-8192,0)
(-9974,0)
(-11586,0)
(-12999,0)
(-14189,0)
(-15137,0)
(-15826,0)
(-16244,0)
(-16384,0)
(-16244,0)
(-15826,0)
(-15137,0)
(-14189,0)
(-12999,0)
(-11586,0)
(-9974,0)
(-8192,0)
(-6270,0)
(-4241,0)
(-2139,0)
(0,0)
(2138,0)
(4240,0)
(6269,0)
(8192,0)
(9973,0)
(11585,0)
(12998,0)
(14188,0)
(15136,0)
(15825,0)
(16243,0)
(16384,0)
(16243,0)
(15825,0)
(15136,0)
(14188,0)
(12998,0)
(11585,0)
(9973,0)
(8192,0)
(6269,0)
(4240,0)
(2138,0)
(0,0)
(-2139,0)
(-4241,0)
(-6270,0)
(-8192,0)
(-9974,0)
(-11586,0)
(-12999,0)
(-14189,0)
(-15137,0)
(-15826,0)
(-16244,0)
(-16384,0)
(-16244,0)
(-15826,0)
(-15137,0)
(-14189,0)
(-12999,0)
(-11586,0)
(-9974,0)
(-8192,0)
(-6270,0)
(-4241,0)
(-2139,0)
(0,0)
(2138,0)
(4240,0)
(6269,0)
(8192,0)
(9973,0)
(11585,0)
(12998,0)
(14188,0)
(15136,0)
(15825,0)
(16243,0)
(16384,0)
(16243,0)
(15825,0)
(15136,0)
(14188,0)
(12998,0)
(11585,0)
(9973,0)
(8192,0)
(6269,0)
(4240,0)
(2138,0)
(0,0)
(-2139,0)
(-4241,0)
(-6270,0)
(-8192,0)
(-9974,0)
(-11586,0)
(-12999,0)
(-14189,0)
(-15137,0)
(-15826,0)
(-16244,0)
(-16384,0)
(-16244,0)
(-15826,0)
(-15137,0)
(-14189,0)
(-12999,0)
(-11586,0)
(-9974,0)
(-8192,0)
(-6270,0)
(-4241,0)
(-2139,0)
(0,0)
(0,0)
(0,0)
(0,0)
(0,0)
(0,0)
(0,0)
(0,0)
(0,0)
(0,0)
(0,0)
(0,0)
(0,0)
(0,0)
